#,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
62,Wisconsin-(Platteville) Pioneers,29,7.5%,5.8,5.1,0.88,2.7,1.8,4.4,40.3%,43.4%,11.4%,14.4%,11.4%,41.3%
63,Iowa Wesleyan Tigers,19,7.5%,6.4,5.3,0.828,2.8,1.9,4.7,41.1%,43.3%,13.1%,14.8%,12.3%,41%
64,Randolph College Wildcats,26,7.4%,6.1,4.7,0.761,2.9,1.8,4.7,38.5%,41%,15.1%,11.3%,9.4%,37.1%
65,Centenary University Cyclones,24,7.4%,5.9,4.6,0.78,2.7,1.6,4.3,37.5%,39.4%,16.3%,13.5%,13.5%,37.6%
66,PennState-Abington,13,7.4%,6.7,5.9,0.885,2.5,1.9,4.5,43.1%,46.6%,20.7%,17.2%,13.8%,41.4%
67,North Central (MN) Rams,26,7.4%,6.2,4.3,0.696,2.8,1.6,4.4,35.7%,37.8%,14.3%,16.1%,13%,35.4%
68,Clarks Summit University Defenders,26,7.4%,5.7,3.9,0.678,2.9,1.5,4.5,34.5%,35.3%,14.1%,12.1%,10.1%,34.2%
69,Endicott College Gulls,28,7.4%,6.2,5.5,0.879,2.8,2,4.8,41.8%,45.1%,12.1%,13.8%,12.6%,42.5%
70,Nebraska Wesleyan Prairie Wolves,34,7.3%,6.4,6.6,1.037,2.3,2.4,4.7,50.9%,54.7%,13.4%,16.7%,13.9%,49.1%
71,Buffalo State Bengals,24,7.3%,6.7,4.8,0.712,3.5,1.8,5.2,33.6%,36.4%,13.1%,14.4%,12.5%,34.4%
72,LeTourneau Yellow Jackets,31,7.3%,6.6,6.3,0.956,2.9,2.1,5,42.3%,47.1%,10.3%,17.6%,12.7%,45.1%
73,Westfield State Owls,8,7.3%,6.8,3.5,0.519,3.9,1,4.9,20.5%,20.5%,11.1%,16.7%,11.1%,31.5%
74,Monmouth (IL),18,7.2%,5.7,5.2,0.903,2.2,1.6,3.8,42.6%,46.3%,14.6%,20.4%,17.5%,47.6%
75,LaGrange Panthers,25,7.2%,6.6,5.8,0.885,2.6,2,4.6,43.5%,44.3%,14.5%,20%,14.5%,46.1%
76,Wisconsin-(Stevens Point) Pointers,30,7.1%,5,4.4,0.868,1.8,1.6,3.4,46.1%,48%,17.9%,14.6%,9.9%,45.7%
77,Macalester College Scots,24,7.1%,6.9,5.4,0.777,3.4,2,5.4,37.2%,40.3%,15.1%,10.8%,10.2%,36.1%
78,Louisiana College Wildcats,26,7.1%,6,3.9,0.654,3.2,1.3,4.5,29.9%,34.2%,15.4%,10.3%,8.3%,31.4%
79,Hope College Flying Dutchmen,27,7.1%,6,6.7,1.124,2.1,2.1,4.2,50.4%,56.6%,11.2%,19.3%,13.7%,54%
80,Framingham State Rams,9,7.1%,5,5.2,1.044,2.2,1.6,3.8,41.2%,51.5%,11.1%,17.8%,13.3%,42.2%
81,Lake Forest Foresters,17,7.1%,5.4,3.9,0.717,2.6,1.5,4.1,37.1%,37.9%,16.3%,9.8%,5.4%,35.9%
82,Geneva Golden Tornadoes,27,7.1%,5.6,4,0.715,2.6,1.4,4,34.6%,36.4%,17.9%,13.2%,10.6%,35.8%
83,Earlham College Quakers,25,7.1%,5.7,4.5,0.783,2.9,1.6,4.6,36%,40.8%,14%,8.4%,7%,35%
84,Mount Union Raiders,26,7%,5.8,4.2,0.72,2.8,1.7,4.5,36.8%,40.2%,15.3%,8.7%,6.7%,34.7%
85,Eureka Red Devils,22,7%,6.4,4.7,0.736,3.3,1.7,5,33.9%,39%,13.6%,9.3%,8.6%,33.6%
86,Cabrini Caveliers,29,7%,6.2,5,0.806,3,1.8,4.8,38.1%,40.3%,12.2%,16.7%,13.3%,38.9%
87,Berkeley (NJ) Knights,1,7%,7,8,1.143,3,3,6,50%,58.3%,14.3%,14.3%,14.3%,42.9%
88,Rutgers-Camden Scarlet Raptors,22,7%,5.6,5.7,1.016,2,2.1,4,51.7%,56.7%,17.7%,15.3%,12.9%,47.6%
89,Bethany (WV),30,7%,5.8,4.6,0.792,2.8,1.6,4.5,36.6%,38.4%,9.2%,15.6%,12.1%,39.9%
90,St. Joseph's (LI) Eagles,9,6.9%,5.3,4.1,0.771,2,1.7,3.7,45.5%,47%,22.9%,12.5%,12.5%,37.5%
91,Brooklyn Bulldogs,22,6.9%,5.9,4.3,0.729,3.4,1.5,4.9,30.8%,35.5%,8.5%,9.3%,7.8%,34.1%
92,La Verne Leopards,26,6.9%,5.8,4.4,0.767,2.5,1.6,4.1,38.7%,42%,16%,15.3%,10.7%,36.7%
93,Goucher Gophers,25,6.9%,5.6,3.2,0.574,2.7,1.3,4,32.7%,33.7%,22.7%,8.5%,6.4%,28.4%
94,Bryn Athyn College,15,6.9%,5.9,5.5,0.943,2.3,2.1,4.5,47.8%,50.7%,13.6%,13.6%,11.4%,45.5%
95,Kean University Cougars,27,6.8%,5.6,4.1,0.74,2.6,1.4,4,34.9%,37.2%,14.7%,13.3%,11.3%,37.3%
96,Redlands Bulldogs,23,6.7%,6,3.8,0.642,3.1,1.4,4.5,31.1%,33%,16.8%,8%,3.6%,30.7%
97,Marietta Pioneers,28,6.7%,5.5,4.8,0.858,2.4,1.6,4,39.3%,40.6%,12.9%,18.1%,12.9%,43.2%
98,Norwich,13,6.7%,5.4,4.8,0.886,2.2,1.6,3.8,42%,46%,15.7%,17.1%,14.3%,41.4%
99,Saint Mary's (MN) Cardinals,27,6.6%,5.3,3.6,0.671,2.4,1.4,3.8,36.9%,39.3%,19.6%,9.1%,6.3%,32.2%
100,Washington and Lee Generals,27,6.6%,5.9,4.9,0.829,2.7,1.7,4.4,39%,44.1%,13.9%,13.3%,12%,38.6%
101,PennState-Berks,12,6.6%,6.2,4.8,0.77,3.2,1.6,4.8,33.3%,41.2%,14.9%,9.5%,8.1%,33.8%
102,Webster University,19,6.6%,5.4,3.8,0.709,2.9,1.5,4.4,34.5%,38.7%,12.6%,5.8%,5.8%,34%
103,Belhaven Blazers,25,6.5%,6,5.1,0.852,1.9,1.4,3.3,43.4%,49.4%,21.5%,25.5%,22.1%,43.6%
104,Cal Lutheran Kingsmen,21,6.5%,5.3,3.6,0.685,2.6,1.3,3.9,34.1%,34.1%,9.9%,18%,15.3%,38.7%
105,Houghton College Highlanders,20,6.5%,5.1,3.7,0.733,2.2,1.5,3.6,40.3%,42.4%,16.8%,11.9%,7.9%,36.6%
106,Hilbert Hawks,26,6.5%,5.7,4.4,0.765,2.7,1.6,4.3,36.6%,38.8%,13.4%,12.1%,8.7%,38.9%
107,Texas Lutheran Bulldogs,27,6.4%,5.3,3.9,0.734,2.6,1.1,3.7,29%,33.5%,14%,18.9%,16.1%,35.7%
108,Stevenson Mustangs,25,6.4%,5.5,5.1,0.928,2.4,1.6,4,40.6%,49%,13.8%,15.9%,11.6%,39.9%
109,Heidelberg,25,6.4%,5.6,4.3,0.771,2.6,1.7,4.3,40.2%,41.6%,16.4%,9.3%,8.6%,37.9%
110,Central (IA),28,6.4%,5.5,4.8,0.864,2.2,1.6,3.8,43%,46.7%,16.9%,15.6%,11%,41.6%
111,New Rochelle Blue Angels,7,6.4%,6,4.9,0.81,3,1.4,4.4,32.3%,35.5%,7.1%,21.4%,19%,40.5%
112,Hardin-Simmons Cowboys,26,6.4%,5.7,4.3,0.755,2.7,1.2,3.8,30.3%,32.3%,14.3%,21.8%,17.7%,38.1%
113,Concordia (Chicago) Cougars,25,6.4%,5.9,3.8,0.642,3,1.3,4.4,30.3%,31.2%,16.2%,11.5%,10.1%,32.4%
114,Utica,27,6.4%,5.2,3.7,0.714,1.8,1.4,3.2,43%,45.3%,26.4%,14.3%,10%,35%
115,Otterbein,24,6.3%,5,4,0.8,2.4,1.6,4,40%,43.7%,15%,8.3%,7.5%,36.7%
116,Keene State Owls,16,6.3%,5.7,3.3,0.571,2.6,1.1,3.7,30.5%,34.7%,26.4%,8.8%,5.5%,27.5%
117,St. Thomas (MN) Tommies,26,6.3%,5,4.3,0.854,2.3,1.7,4,42.3%,44.7%,11.5%,12.3%,11.5%,40.8%
118,Babson Beavers,26,6.3%,5,4,0.802,2.3,1.7,4,42.3%,44.2%,16%,7.6%,6.9%,38.2%
119,SUNY Purchase Panthers,12,6.3%,5.3,4.7,0.875,2.3,1.6,3.8,41.3%,44.6%,14.1%,14.1%,14.1%,43.8%
120,Finlandia Lions,14,6.3%,5,2.7,0.543,2.6,1.1,3.7,28.8%,28.8%,18.6%,8.6%,7.1%,28.6%
121,Kings (PA),24,6.3%,5.4,5.3,0.977,1.7,1.8,3.5,51.8%,54.1%,17.7%,19.2%,16.2%,48.5%
122,Pennsylvania College of Technology Wildcats,9,6.3%,5.3,4.6,0.854,2.6,1.7,4.2,39.5%,43.4%,10.4%,10.4%,8.3%,39.6%
123,Shenandoah University Hornets,28,6.2%,5.6,4.2,0.745,2.5,1.6,4.2,39.3%,41%,15.3%,10.2%,7.6%,38.2%
124,Johnson & Wales (RI) University Wildcats,20,6.2%,5.5,4.5,0.826,2.3,1.5,3.7,39.2%,41.9%,15.6%,19.3%,15.6%,40.4%
125,Maranatha Baptist,10,6.2%,5.4,5.1,0.944,2,2,4,50%,53.8%,18.5%,13%,11.1%,42.6%
126,Simpson (IA) Storm,26,6.2%,5,4.7,0.938,1.8,1.4,3.3,43.5%,45.9%,15.5%,20.2%,16.3%,47.3%
127,Pratt Institute Cannoneers,2,6.2%,5,3,0.6,2,1,3,33.3%,33.3%,30%,10%,10%,30%
128,Elizabethtown College,23,6.2%,5,4.4,0.886,2,1.7,3.6,45.8%,47.6%,14%,15.8%,14.9%,44.7%
129,Plattsburgh State Cardinals,29,6.1%,5.8,5.1,0.881,2.5,1.8,4.3,41.1%,45.6%,14.9%,14.9%,8.9%,39.9%
130,Bridgewater College Eagles,28,6.1%,5.3,3.3,0.624,2.7,1.3,4,31.5%,33.8%,17.4%,8.7%,9.4%,30.9%
131,Carnegie Mellon Tartans,25,6.1%,5.1,4.2,0.827,2.2,1.8,4,44.6%,45%,10.2%,11.8%,10.2%,43.3%
132,Neumann Knights,31,6.1%,5.3,4.3,0.811,2.4,1.6,4.1,40.5%,40.9%,11%,14%,9.1%,41.5%
133,Nazareth College Golden Flyers,27,6%,5.1,4.3,0.854,2.4,1.7,4.1,42%,43.3%,9.5%,9.5%,7.3%,43.1%
134,Wisconsin-(La Crosse) Eagles,26,6%,4.7,3.8,0.797,1.8,1.5,3.2,45.2%,48.2%,22%,11.4%,10.6%,39%
135,PennState-Altoona,26,6%,5.6,4.3,0.772,2.5,1.5,4,38.1%,40.5%,15.2%,14.5%,11%,39.3%
136,Keystone,24,6%,5.5,4,0.735,2.5,1.5,4,37.9%,41.6%,17.4%,12.1%,11.4%,35.6%
137,George Fox Bruins,26,6%,5.3,4.7,0.891,2,1.8,3.8,47.5%,48.5%,15.2%,16.7%,15.9%,44.9%
138,New England Col.,8,6%,5.5,3.6,0.659,2.5,1.1,3.6,31%,34.5%,20.5%,13.6%,6.8%,34.1%
139,Thiel,25,5.9%,5,3.1,0.621,2.8,1,3.8,26.3%,28.4%,11.3%,14.5%,12.1%,30.6%
140,Crown College (MN),27,5.9%,5.1,5.2,1.014,2.1,1.9,4,47.2%,54.2%,10.9%,13.8%,12.3%,45.7%
141,Massachusetts College of Liberal Arts (MCLA),8,5.9%,4.9,2.8,0.564,2.1,0.9,3,29.2%,29.2%,25.6%,12.8%,12.8%,28.2%
142,St. Joseph's (Brooklyn) Bears,8,5.9%,5.3,4.4,0.833,1.8,1.5,3.3,46.2%,46.2%,21.4%,16.7%,11.9%,45.2%
143,Bridgewater State Bears,9,5.9%,4.8,4,0.837,1.7,1.6,3.2,48.3%,53.4%,20.9%,11.6%,7%,39.5%
144,SUNY New Paltz Hawks,25,5.9%,5.2,3.7,0.721,2.1,1.4,3.5,40.2%,42.5%,19.4%,17.8%,14%,36.4%
145,Marymount (VA) Saints,25,5.9%,4.7,3.8,0.805,1.9,1.4,3.3,41.5%,42.1%,16.1%,21.2%,16.1%,40.7%
146,Southern Vermont Mountaineers,6,5.8%,5.2,2.7,0.516,2.5,1,3.5,28.6%,28.6%,22.6%,12.9%,9.7%,29%
147,Bowdoin Polar Bears,24,5.8%,4.7,4,0.85,2.3,1.4,3.7,38.2%,40.4%,9.7%,14.2%,11.5%,39.8%
148,Immaculata,24,5.8%,5.1,3.3,0.634,2.7,1.3,3.9,31.9%,34.6%,14.6%,10.6%,8.9%,30.9%
149,Illinois Tech Scarlet Hawks,19,5.8%,4.7,3.5,0.733,1.9,1.2,3.2,38.3%,39.2%,16.7%,17.8%,11.1%,37.8%
150,Swarthmore Garnet,31,5.7%,4.7,4,0.862,1.8,1.5,3.3,45.5%,48%,17.2%,14.5%,8.3%,42.8%
151,Lasell,27,5.7%,4.7,3.4,0.724,1.8,1.4,3.2,43.7%,45.4%,23.6%,7.9%,3.9%,37%
152,Anderson (IN) Ravens,27,5.7%,4.5,4.9,1.082,1.5,1.8,3.3,54.4%,59.4%,13.9%,16.4%,11.5%,52.5%
153,Amherst College Mammoths,25,5.7%,4.9,4.1,0.844,2.2,1.6,3.9,42.3%,47.4%,13.1%,8.2%,4.9%,38.5%
154,New England Nor easters,26,5.7%,6.4,5,0.789,2.7,1.6,4.2,37.3%,42.3%,19.3%,18.7%,14.5%,38%
155,Texas-(Tyler) Patriots,28,5.7%,5.1,4.5,0.882,2,1.7,3.7,46.2%,49.5%,17.4%,13.9%,11.8%,43.1%
156,Frostburg State Bobcats,27,5.7%,5.1,3,0.576,2.7,1.1,3.8,30.1%,30.6%,16.5%,12.2%,12.2%,30.2%
157,Pine Manor,14,5.6%,5.4,4,0.737,2.6,1.6,4.1,37.9%,38.8%,13.2%,14.5%,10.5%,38.2%
158,Manhattanville College Valiant,25,5.6%,4.8,3.3,0.683,2.2,1.2,3.4,35.7%,37.5%,18.3%,12.5%,10.8%,35%
159,Willamette Bearcats,25,5.6%,4.7,3.6,0.763,1.8,1.3,3.1,42.3%,44.2%,23.7%,15.3%,13.6%,36.4%
160,Fontbonne Griffins,16,5.6%,5.3,3.3,0.619,2.9,1.1,4,28.1%,31.3%,13.1%,13.1%,9.5%,31%
161,Wilmington (OH) Quakers,25,5.6%,4.8,4.3,0.884,2.4,1.3,3.7,34.8%,41.3%,10.7%,14.9%,12.4%,39.7%
162,Oneonta State Red Dragons,29,5.6%,4.7,3.6,0.752,2.1,1.3,3.5,38.6%,41.1%,13.1%,14.6%,10.2%,39.4%
163,Centre (KY) Praying Colonels,26,5.6%,4.5,3.8,0.855,1.8,1.4,3.2,44.6%,46.4%,17.9%,12.8%,9.4%,41.9%
164,Guilford College Quakers,27,5.6%,4.6,4.1,0.895,1.7,1.6,3.3,47.2%,48.3%,18.5%,13.7%,12.9%,42.7%
165,Westminster (MO) Blue Jays,18,5.6%,4.6,2.9,0.639,2.5,1,3.5,28.6%,31%,12%,15.7%,12%,31.3%
166,Anna Maria AMCATS,18,5.6%,4.5,3.6,0.79,2.1,1.4,3.5,39.7%,41.3%,8.6%,13.6%,8.6%,39.5%
167,Messiah,26,5.5%,4.5,3.1,0.692,2,1.1,3,35.4%,36.7%,21.4%,13.7%,9.4%,35%
168,Wheaton (MA) Lyons,26,5.5%,4.3,4.2,0.965,1.6,1.5,3.1,47.5%,55.6%,18.6%,12.4%,10.6%,44.2%
169,Cazenovia,12,5.5%,4.8,2.8,0.579,2.2,0.8,3,27.8%,29.2%,19.3%,19.3%,10.5%,31.6%
170,SUNY Geneseo Knights,26,5.5%,4.3,3.5,0.814,1.7,1.3,3,42.9%,44.8%,19.5%,14.2%,8%,39.8%
171,Worcester Polytechnic Engineers,28,5.5%,4.5,3.6,0.802,1.8,1.3,3.1,41.4%,44.8%,17.5%,15.1%,11.9%,39.7%
172,Sul Ross State Lobos,29,5.5%,4.7,3.8,0.796,1.9,1.3,3.2,41.3%,41.8%,16.8%,21.2%,19%,40.9%
173,Stockton University,25,5.5%,4.6,3.6,0.784,2.3,1.2,3.5,34.1%,38.1%,12.1%,16.4%,13.8%,36.2%
174,Roger Williams Hawks,27,5.5%,4.5,4.5,0.992,1.4,1.5,2.9,51.9%,53.2%,18%,21.3%,13.9%,50%
175,Dominican (IL) Stars,25,5.5%,4.4,3.4,0.764,2.1,1.3,3.4,37.6%,39.4%,10.9%,12.7%,7.3%,39.1%
176,Wilson,17,5.4%,4.7,3.2,0.688,1.9,1.1,3.1,36.5%,37.5%,21.3%,16.3%,10%,35%
177,Kenyon Lords,25,5.4%,4.2,3,0.698,2,1.2,3.2,36.3%,37.5%,13.2%,14.2%,11.3%,35.8%
178,Hampden-Sydney Tigers,26,5.4%,4.3,3.1,0.708,2.2,1.2,3.3,34.9%,37.8%,13.3%,12.4%,11.5%,34.5%
179,Augsburg University Auggies,29,5.4%,4.2,4,0.943,1.5,1.4,2.9,48.2%,50%,17.1%,18.7%,13%,46.3%
180,SUNY Canton Kangaroos,22,5.4%,4.8,2.5,0.528,2.1,0.8,2.9,26.6%,30.5%,25.5%,14.2%,9.4%,28.3%
181,Delaware Valley,25,5.4%,4.6,2.9,0.632,1.9,0.8,2.7,29.9%,31.3%,23.7%,20.2%,15.8%,34.2%
182,Linfield College Wildcats,27,5.4%,4.4,3.9,0.881,1.6,1.3,2.9,45.6%,46.2%,18.6%,19.5%,14.4%,44.1%
183,Defiance Yellow Jackets,26,5.4%,4.6,2.9,0.639,2.2,1,3.2,32.1%,34.5%,17.6%,12.6%,10.1%,31.9%
184,Springfield (MA) Pride,30,5.4%,4.3,3.5,0.814,2.1,1.3,3.3,38%,43%,13.2%,10.9%,8.5%,36.4%
185,Christopher Newport Captains,29,5.4%,4.4,3.4,0.787,2,1.2,3.2,38.3%,39.4%,11%,16.5%,10.2%,39.4%
186,Mitchell College (CT) Mariners,9,5.4%,4.9,4.4,0.909,2.1,1.7,3.8,44.1%,50%,13.6%,15.9%,11.4%,40.9%
187,Benedictine (IL) Eagles,26,5.3%,4.5,4.6,1.017,1.8,1.7,3.5,47.8%,52.8%,13.7%,16.2%,12%,46.2%
188,Rosemont Ravens,27,5.3%,4.5,3.4,0.752,2.2,1.1,3.3,33%,37.5%,14%,15.7%,10.7%,34.7%
189,Hunter College Hawks,24,5.3%,4.4,3.8,0.867,1.8,1.3,3,42.5%,45.2%,16.2%,18.1%,16.2%,42.9%
190,Occidental Tigers,25,5.3%,4.2,4.2,1.01,1.7,1.7,3.4,49.4%,49.4%,5.8%,13.5%,10.6%,51%
191,Concordia (WI) Falcons,27,5.3%,4.5,4,0.893,1.8,1.4,3.2,44.8%,46.6%,17.2%,13.9%,10.7%,43.4%
192,Trinity College (CT) Bantams,24,5.3%,4.4,3.5,0.783,2,1.5,3.5,42.2%,45.8%,16%,7.5%,6.6%,36.8%
193,Illinois Wesleyan Titans,27,5.3%,4.3,3.6,0.828,1.8,1.3,3.1,41%,44.6%,12.9%,16.4%,7.8%,40.5%
194,Emmanuel (MA) Saints,22,5.3%,4.4,3.2,0.729,2,1.3,3.3,38.4%,42.5%,19.8%,6.3%,4.2%,33.3%
